"","baseMean","log2FoldChange","lfcSE","pvalue","padj","significance"
"ENSDARG00000115819",34624.390580968,-1.35571658957361,0.551744530409029,0.000876895398128656,0.0207222197825905,"Significant"
"rad51ap1",2055.57558139831,-0.898569218366819,0.328403923273,0.000880143576132826,0.0207462810848003,"Significant"
"si:dkey-58j15.10",9018.90364753845,-0.73937703313944,0.258756332752785,0.000891149212465253,0.0209020243127257,"Significant"
"atp2a1",3479.6330020761,-0.943643896219229,0.352040272996587,0.000931867541187731,0.0216567383197204,"Significant"
"si:ch211-222l21.1",65226.2619514714,-0.872422649356928,0.314950360530165,0.000948019108296593,0.0219516205395983,"Significant"
"arsg",181.084664887802,-1.55899645169421,0.665362292034918,0.000961478178299091,0.0221979780508739,"Significant"
"prim2",1809.93992925281,-0.759503699046277,0.269915742178372,0.000962160436912264,0.0221979780508739,"Significant"
"si:ch211-161h7.4",3459.31523892854,-0.867538842434266,0.318533491885027,0.000964470523841761,0.0222310455745526,"Significant"
"col9a3",913.036393407878,-1.25954941198235,0.509063934064734,0.000966047919898877,0.0222471798447194,"Significant"
"ska3",1185.65954496648,-1.07279873309601,0.415918622198487,0.000977535070775507,0.0224271763408902,"Significant"
"uchl3",3937.30300661001,-0.834430573869775,0.303939013988573,0.000976558633269537,0.0224271763408902,"Significant"
"ttll12",1313.21024331183,-0.916556918160151,0.342118676738966,0.000990866357220906,0.02258154325401,"Significant"
"dmac2",546.233240455466,-0.943290605218054,0.35491747700068,0.000996081300343806,0.0226507994351724,"Significant"
"ENSDARG00000115741",1662.80832778074,-1.09878977796505,0.430449043630446,0.00100039590234403,0.022728528766965,"Significant"
"ca10a",1388.07809923295,-1.19398801413639,0.479720644830687,0.00101130013587911,0.0228802708305961,"Significant"
"ruvbl2",11826.7737079812,-0.760849791387849,0.272112543244425,0.00101158681132314,0.0228802708305961,"Significant"
"si:ch1073-287p18.1",1076.75295432225,-0.7828579277074,0.28213540304379,0.0010180170736405,0.0230051897523661,"Significant"
"arl3b",4395.58335777635,-0.847559042815439,0.311437953663937,0.00102652349763832,0.0231561417105156,"Significant"
"kcnj11l",484.132966695677,-1.17406186770915,0.470070309201148,0.00103888758753137,0.0233473456308653,"Significant"
"si:dkey-7f16.3",91.647710140729,-2.76682766723432,1.36492882867915,0.00103947866549245,0.0233473456308653,"Significant"
"zgc:153738",7716.7524680362,-0.902964472399089,0.338062290117922,0.00104052457357041,0.0233473456308653,"Significant"
"ttll11",803.513335974877,-1.10205748512548,0.434693998849984,0.00104383117445927,0.0233801585056667,"Significant"
"slc18b1",1670.03750566108,-0.896403376506047,0.335420975211131,0.00105360213548382,0.0235159173813312,"Significant"
"ENSDARG00000111006",465.219544183259,-1.31727235991654,0.549738744503479,0.00107449066191903,0.0238236473023801,"Significant"
"zcchc2",2814.00155729847,-0.735310688550277,0.263062025367282,0.00108052955921498,0.0239064807800137,"Significant"
"znf971",1305.46584195551,-0.979142438820672,0.37744397094241,0.00112127299126245,0.0246536815599629,"Significant"
"mybl1",2141.13797762861,-0.910919031887487,0.345379510113424,0.00112616169775653,0.0246832767781454,"Significant"
"sycp3",7686.56223515406,-1.03372864471312,0.408776496032582,0.0011273214162529,0.0246832767781454,"Significant"
"lmnl3",5069.40234027517,-0.839395165598097,0.311907397420294,0.00113591913897461,0.02479586550456,"Significant"
"gls2b",857.00435579562,-0.837489972283712,0.311308615465323,0.00114572964412421,0.0248801381988191,"Significant"
"rpap3",7190.40809516286,-0.706602403284611,0.252270451896705,0.00114901339905656,0.0249215010548152,"Significant"
"med1l",2596.00453072405,-0.796993473517946,0.292761104072762,0.00115243767759169,0.0249744079618267,"Significant"
"med7",1332.19135443104,-0.761986769013365,0.277303359843802,0.00116975826539529,0.0252768519774997,"Significant"
"zgc:162239",27053.873216297,-0.825649245084697,0.301618196828417,0.00117676981315807,0.0253715974597134,"Significant"
"cfap97",1364.59059756141,-1.04766620544502,0.416726620777958,0.00120530549183991,0.0258549244886641,"Significant"
"nphp1",2607.2141589273,-0.901697244159918,0.344588353480802,0.00121526214347422,0.026024469297119,"Significant"
"si:ch1073-272j17.3",8590.02284536336,-0.808135039667416,0.300663210188148,0.00122672311402864,0.0261594319227891,"Significant"
"tctn1",852.595249066276,-0.928669395393346,0.358376265471961,0.00123715017304385,0.026289243217524,"Significant"
"hpn",2709.60768264139,-0.780619791887555,0.288335165307616,0.00124108635606222,0.0263328406342742,"Significant"
"cdc7",1916.18431221946,-0.815363676133628,0.304926966766389,0.00125526083890722,0.0266072131000315,"Significant"
"ndel1a",9984.95196496817,-0.815250958317412,0.304075662528648,0.00125716589602988,0.0266072131000315,"Significant"
"pcgf6",2893.32664902271,-0.865603910002746,0.328930883187664,0.00126076005514038,0.026638809331737,"Significant"
"nme7",2580.28114348008,-0.75050621644517,0.275137496674482,0.00127317013377968,0.0268339391038933,"Significant"
"ccdc9b",927.020103601698,-0.829783729309106,0.312003980835682,0.00127841078877817,0.0268996726551622,"Significant"
"atp2b3a",291.581175076395,-1.35900587685442,0.590344108567627,0.00130463060741351,0.0273379413644376,"Significant"
"exd3",935.760236359572,-1.00838715903799,0.401506543069431,0.00131230461235261,0.0274479264369756,"Significant"
"fam113",1423.1577841108,-1.03916226619971,0.420871167195981,0.00136833802906695,0.0283218046750959,"Significant"
"zwilch",2228.84289093223,-0.714365783064248,0.261457513545867,0.00136775498211869,0.0283218046750959,"Significant"
"tmem42a",1037.81749541796,-1.03062298269041,0.418375024226263,0.00138132865429176,0.0285673638087826,"Significant"
"hmox2a",2791.62359595733,-1.45669434478709,0.658065306830961,0.00138465083150433,0.0286127317300671,"Significant"
"gtf2a1",6465.4365779989,-0.725450385018042,0.266729067732195,0.00139207782901264,0.0287193924773113,"Significant"
"cenpu",1369.29401307481,-0.815531505304675,0.308985506335288,0.0013972545763035,0.0288027559204677,"Significant"
"h3f3d",9835.16121124799,-0.6414133170833,0.228474887222551,0.00141918191239412,0.029207270607754,"Significant"
"sostdc1a",1631.45710816112,-0.803225436350976,0.303999360710375,0.00142034907347048,0.0292075837452101,"Significant"
"si:dkey-1h6.8",1035.67285142162,-1.26436437536197,0.548424262883122,0.0014242714496866,0.0292645077850923,"Significant"
"sypb",1396.04371182767,-1.08107205662451,0.446200888701255,0.00142631558854118,0.0292827787428839,"Significant"
"ENSDARG00000115469",4953.90728967729,-1.00723531904459,0.404206635562155,0.00143172400334951,0.0293700340654749,"Significant"
"cnot8",3870.08274571008,-0.798891455504845,0.302398614910336,0.00144213284643315,0.0294932493592912,"Significant"
"fbln1",1248.29736417148,-0.85702954382861,0.33078979583411,0.00144177044407716,0.0294932493592912,"Significant"
"nme4",3437.80885917201,-0.903883373677362,0.354425412253727,0.00144790909868696,0.0295658297655311,"Significant"
"snap25a",376.690899785622,-1.20640440748863,0.51639384370071,0.00144826505891499,0.0295658297655311,"Significant"
"gins2",2198.5949598905,-0.79357846161535,0.300107806834698,0.00144961362173833,0.0295695521956359,"Significant"
"selenok",1933.58757415899,-0.798383444122932,0.302858169992218,0.00146198731092253,0.029702474574071,"Significant"
"shoc1",1720.47626543069,-0.882497664026231,0.344002483778137,0.00146148285654284,0.029702474574071,"Significant"
"pimr188",2699.01116223988,-1.47324019927784,0.672280602150516,0.00146818740706081,0.0297740572066305,"Significant"
"fbxo5",1914.94142281881,-0.735713224372998,0.273353849449389,0.00147173461420489,0.0298049769514098,"Significant"
"pofut2",1701.86055474522,-1.05671159660435,0.435821961039924,0.00148779286249198,0.0300581577916209,"Significant"
"haus3",684.601767226897,-1.37146026643639,0.612553993740493,0.00149792686216513,0.0301982822740358,"Significant"
"si:dkey-171c9.3",5295.10594239663,-0.803085724042149,0.306327764168852,0.00149949269899472,0.0301982822740358,"Significant"
"ercc3",3611.33358381915,-0.708122100114573,0.261382996479866,0.00150243530897807,0.0302335295707451,"Significant"
"si:ch211-274p24.2",206.452464426545,-1.94383181132857,0.978621938302888,0.00151502629404489,0.0304173459590201,"Significant"
"ckba",52630.610011692,-0.747558141709506,0.280520788470309,0.00152942188875624,0.0306307203707855,"Significant"
"KCTD20",1361.68271424986,-1.15227650367088,0.49258157628213,0.00155937936348981,0.031083383460129,"Significant"
"ranbp3a",2689.1051859366,-1.18832132530872,0.516087542431231,0.00156144810852379,0.0310859193716765,"Significant"
"myo9ab",2642.8350605891,-1.19946191681113,0.523372258929998,0.00157828926014728,0.0313371371895335,"Significant"
"hmgb2b",26563.7096584415,-0.764697644697254,0.288473401842987,0.00158846056554414,0.0314454188283175,"Significant"
"matcap2",2724.88764997728,-0.927870610627704,0.371812794960538,0.00159246444762163,0.0314454188283175,"Significant"
"kifc1",7118.5257875146,-0.955202947083253,0.388394353923192,0.0016034750581311,0.0315163644177629,"Significant"
