"","baseMean","log2FoldChange","lfcSE","pvalue","padj","significance"
"si:ch73-359m17.7",309.591903307463,1.96868196060966,0.558502536961851,2.36386468591291e-05,0.00137152835495016,"Significant"
"si:ch211-285c6.2",125.22854800478,5.5906888049706,1.68194754310902,2.39665724042348e-05,0.00138738000755564,"Significant"
"si:dkey-172j4.3",768.889437281895,1.48240709096784,0.412870726634895,2.43693020618712e-05,0.00140428103131533,"Significant"
"cisha",1718.31177281646,1.59906548953909,0.448771841524316,2.52195531455413e-05,0.00144998133788027,"Significant"
"kcnq2b",427.058295934867,1.75695065016218,0.499119768290203,2.60452231960904e-05,0.0014940647831151,"Significant"
"cd74a",46049.1263083266,1.45979753385403,0.398066867980552,2.65202871930404e-05,0.00151788235164682,"Significant"
"scinla",651.106119092091,2.1211432075375,0.61194443614616,2.68938836599709e-05,0.00153579824369046,"Significant"
"si:ch211-125e6.13",129.954609977251,4.33341341680528,1.30849290830706,2.71671352373041e-05,0.00154791621110527,"Significant"
"si:busm1-194e12.8",118.291326439255,3.29652432357232,0.977317227956688,2.73987381654263e-05,0.00155761212148965,"Significant"
"fgfr3",745.776608915274,2.19674962446152,0.636478418627517,2.76397281733121e-05,0.00156587391884309,"Significant"
"sat1a.1",546.85501912917,2.5696351166124,0.751774224361726,2.76675809758116e-05,0.00156587391884309,"Significant"
"sod3b",215.860896900456,2.72590306796245,0.8012763379614,2.79039002854432e-05,0.00157573138471584,"Significant"
"paplnb",260.44617466707,3.8130425056914,1.14743337923354,2.82529291442911e-05,0.0015904413866043,"Significant"
"si:dkeyp-82a1.8",726.087287920827,2.42363836887522,0.707869855754734,2.87515963798811e-05,0.00161282461551302,"Significant"
"si:ch211-106j21.5",766.600935393136,1.85718049451705,0.532550383802462,2.91997818736846e-05,0.00163434982209111,"Significant"
"pik3r1",3429.0577275486,1.04112644693638,0.283112919584794,2.99586644738283e-05,0.00166945480820641,"Significant"
"ntrnl1",174.032660376244,5.44534034655245,1.68410685196066,3.00761665053049e-05,0.00167232719680264,"Significant"
"acot16",64.9989063964515,4.567970478798,1.40770625769982,3.05413728375283e-05,0.00169447813631407,"Significant"
"tmsb1",5465.33099914811,1.8993545884796,0.548697792387421,3.1279680736368e-05,0.00173165132111487,"Significant"
"ptpn22",780.710123673653,2.43696856183845,0.717958001158038,3.13855460405956e-05,0.00173372662278715,"Significant"
"si:ch1073-406l10.2",1114.58281112656,2.17593116234956,0.635989823387529,3.24262048944001e-05,0.001783441269192,"Significant"
"soul2",2816.22355073811,6.55049838991559,2.10933316392511,3.23778801350896e-05,0.001783441269192,"Significant"
"gnai2b",598.319093577472,1.60714759046933,0.461323827540936,3.3054583873301e-05,0.00181406704352283,"Significant"
"si:dkey-30g5.2",338.253625418906,1.81473620942956,0.527223517556456,3.38261778179445e-05,0.00185240332305396,"Significant"
"vamp8",2241.50044876441,1.89523760050232,0.551308644123349,3.40196890682848e-05,0.00185498756199217,"Significant"
"pou2f3",171.16653816171,3.31999893038915,1.00566362978761,3.41959429562655e-05,0.0018605968533393,"Significant"
"si:ch211-119e14.1",1196.05060386123,1.14652657883449,0.3190522894203,3.42989345471373e-05,0.00186220446561599,"Significant"
"grap2b",1653.69974805673,1.49194061023013,0.426459108565457,3.44858785231503e-05,0.00186835352554375,"Significant"
"si:dkey-175d9.2",213.533719982727,4.28293497637211,1.32202517466337,3.52250588263814e-05,0.00189750501084449,"Significant"
"trib3",956.109462809505,1.37724351907086,0.390774165980117,3.52595699416436e-05,0.00189750501084449,"Significant"
"ttyh3a",2946.17011743742,1.66383897333182,0.479496795644381,3.52869065319026e-05,0.00189750501084449,"Significant"
"nox1",1521.15543670906,3.05383484720058,0.92147854495496,3.61569326832864e-05,0.00193817976360408,"Significant"
"cd79a",98.9637957806007,3.36815912935055,1.0295012415736,3.81103764515527e-05,0.00203858353360573,"Significant"
"ENSDARG00000114516",307.905435149733,3.36321160868034,1.03087641756202,3.8543196284371e-05,0.00204971409480767,"Significant"
"ENSDARG00000115171",27.6570580452201,8.23829448248056,3.35973108604739,3.84825333660326e-05,0.00204971409480767,"Significant"
"rhbdl2",423.581271756655,2.13756135481075,0.634962033848214,3.85609790267505e-05,0.00204971409480767,"Significant"
"il22ra2",30.9779552495042,8.3869245452397,3.41851978062099,4.00421782551774e-05,0.00211956039594994,"Significant"
"si:dkey-211i20.1",75.1833101258571,4.15890857734308,1.29094150202739,4.08657162943389e-05,0.00215864632633951,"Significant"
"ENSDARG00000115003",1082.30178308736,8.05845802156907,2.79331480919676,4.10472805889893e-05,0.00216372931254433,"Significant"
"icn",9824.38132872441,1.81869432369745,0.530630473168025,4.1762645736678e-05,0.00219687112583707,"Significant"
"mhc2dbb",189.536028089149,3.2046750864766,0.987774690076913,4.20891736655887e-05,0.00220562282303102,"Significant"
"plb1",203.591121200261,3.25423132815593,1.01738376274011,4.21029953203319e-05,0.00220562282303102,"Significant"
"rin2a",2071.31621325342,1.71328251257435,0.502609869976505,4.24887867321171e-05,0.00222124368575841,"Significant"
"si:dkey-187j14.4",218.9077847744,4.59215386621267,1.45639666907387,4.33178511206413e-05,0.00224606158520217,"Significant"
